,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2611,Chad,2/22/20,0,0,0,0,0,0
2612,Chad,2/23/20,0,0,0,0,0,0
2613,Chad,2/24/20,0,0,0,0,0,0
2614,Chad,2/25/20,0,0,0,0,0,0
2615,Chad,2/26/20,0,0,0,0,0,0
2616,Chad,2/27/20,0,0,0,0,0,0
2617,Chad,2/28/20,0,0,0,0,0,0
2618,Chad,2/29/20,0,0,0,0,0,0
2619,Chad,3/1/20,0,0,0,0,0,0
2620,Chad,3/2/20,0,0,0,0,0,0
2621,Chad,3/3/20,0,0,0,0,0,0
2622,Chad,3/4/20,0,0,0,0,0,0
2623,Chad,3/5/20,0,0,0,0,0,0
2624,Chad,3/6/20,0,0,0,0,0,0
2625,Chad,3/7/20,0,0,0,0,0,0
2626,Chad,3/8/20,0,0,0,0,0,0
2627,Chad,3/9/20,0,0,0,0,0,0
2628,Chad,3/10/20,0,0,0,0,0,0
2629,Chad,3/11/20,0,0,0,0,0,0
2630,Chad,3/12/20,0,0,0,0,0,0
2631,Chad,3/13/20,0,0,0,0,0,0
2632,Chad,3/14/20,0,0,0,0,0,0
2633,Chad,3/15/20,0,0,0,0,0,0
2634,Chad,3/16/20,0,0,0,0,0,0
2635,Chad,3/17/20,0,0,0,0,0,0
2636,Chad,3/18/20,0,0,0,0,0,0
2637,Chad,3/19/20,1,0,0,0,0,0
2638,Chad,3/20/20,1,0,0,1,0,0
2639,Chad,3/21/20,1,0,0,1,0,0
2640,Chad,3/22/20,1,0,0,1,0,0
2641,Chad,3/23/20,1,0,0,1,0,0
2642,Chad,3/24/20,3,0,0,1,0,0
2643,Chad,3/25/20,3,0,0,3,0,0
2644,Chad,3/26/20,3,0,0,3,0,0
2645,Chad,3/27/20,3,0,0,3,0,0
2646,Chad,3/28/20,3,0,0,3,0,0
2647,Chad,3/29/20,3,0,0,3,0,0
2648,Chad,3/30/20,5,0,0,3,0,0
2649,Chad,3/31/20,7,0,0,5,0,0
2650,Chad,4/1/20,7,0,0,7,0,0
2651,Chad,4/2/20,8,0,0,7,0,0
2652,Chad,4/3/20,8,0,0,8,0,0
2653,Chad,4/4/20,9,0,0,8,0,0
2654,Chad,4/5/20,9,0,0,9,0,0
2655,Chad,4/6/20,9,0,0,9,0,0
2656,Chad,4/7/20,10,0,2,9,0,0
2657,Chad,4/8/20,10,0,2,10,0,2
2658,Chad,4/9/20,11,0,2,10,0,2
2659,Chad,4/10/20,11,0,2,11,0,2
2660,Chad,4/11/20,11,0,2,11,0,2
2661,Chad,4/12/20,18,0,2,11,0,2
2662,Chad,4/13/20,23,0,2,18,0,2
2663,Chad,4/14/20,23,0,2,23,0,2
2664,Chad,4/15/20,23,0,2,23,0,2
2665,Chad,4/16/20,27,0,5,23,0,2
2666,Chile,1/22/20,0,0,0,0,0,0
2667,Chile,1/23/20,0,0,0,0,0,0
2668,Chile,1/24/20,0,0,0,0,0,0
2669,Chile,1/25/20,0,0,0,0,0,0
2670,Chile,1/26/20,0,0,0,0,0,0
2671,Chile,1/27/20,0,0,0,0,0,0
2672,Chile,1/28/20,0,0,0,0,0,0
2673,Chile,1/29/20,0,0,0,0,0,0
2674,Chile,1/30/20,0,0,0,0,0,0
2675,Chile,1/31/20,0,0,0,0,0,0
2676,Chile,2/1/20,0,0,0,0,0,0
2677,Chile,2/2/20,0,0,0,0,0,0
2678,Chile,2/3/20,0,0,0,0,0,0
2679,Chile,2/4/20,0,0,0,0,0,0
2680,Chile,2/5/20,0,0,0,0,0,0
